Public Name,LC Classification Code,Availability,Title,Subjects,Classification Code,ISBN,Author,Network Number,Publication Date,Edition,Publisher,Series,MMS Id,Originating System ID
IEEE Xplore MIT Press eBooks Library—Computing & Engineering Collection,AZ,Available,Between humanities and the digital /,"Humanities--Data processing.; Humanities--Research.; Humanities--Study and teaching.; Digital media.; Digital communications.; Information storage and retrieval systems--Humanities.; Information technology.; Knowledge, Theory of.; Electronic books.",AZ,0262328364; 9780262328364,,(IEEE)7120877; (IDAMS)b000064848c67e9; (IDAMS)0b000064848c67e9; (CaBNVSL)mat7120877; (CaBNVSL)mat07120877; (CKB)3860000000003479,[2015],,IEEE Xplore; MIT Press,,9982729260202771,993860000000003479
IEEE Xplore MIT Press eBooks Library—Computing & Engineering Collection,AZ,Available,"Big data, little data, no data : scholarship in the networked world /",Store datamengder--Informasjonsteknologi--Datautvinning--Forskningsmetoder--Cyberspace; Communication in learning and scholarship--Technological innovations.; Research--Methodology.; Research--Data processing.; Information technology.; Information storage,AZ,0262529912; 9780262529914; 0262327864; 9780262327862; 1322641196; 9781322641195; 0262028565; 9780262028561,"Borgman, Christine L., 1951- author.",(MiAaPQ)EBC3339930; (PQKB)10369463; (PQKBWorkID)11402326; (PQKBTitleCode)TC1404611; (PQKBTitleCode)TC0001404611; (PQKBManifestationID)12604472; (SSID)ssj1404611; (SSID)ssj0001404611; (EBL)3339930; (CKB)3710000000337351,2015.,,The MIT Press,,9982722220602771,993710000000337351
IEEE Xplore MIT Press eBooks Library—Computing & Engineering Collection,AZ,Available,Hermeneutica : computer-assisted interpretation in the humanities /,Humanities--Research.; Digital humanities.; Humanities--Methodology.; Electronic books.,AZ,026233206X; 9780262332064; 0262034352; 9780262034357,"Rockwell, Geoffrey, 1959- author.",(MiAaPQ)EBC4503100; (StDuBDS)EDZ1605120; (StDuBDS)EDZ0001605120; (PQKB)10869578; (PQKBWorkID)14958031; (PQKBTitleCode)TC1639881; (PQKBTitleCode)TC0001639881; (PQKBManifestationID)16398832; (SSID)ssj1639881; (SSID)ssj0001639881; (EBL)4503100; (CKB)3710000000632956,[2016],,The MIT Press,,9983024798202771,(CKB)3710000000632956
IEEE Xplore MIT Press eBooks Library—Computing & Engineering Collection,AZ,Available,"Scholarship in the digital age information, infrastructure, and the Internet /",Communication in learning and scholarship--Technological innovations.; Scholarly electronic publishing.; Information technology.; Learning and scholarship--Social aspects.; Electronic books.,AZ,1282096125; 9781282096127; 9786612096129; 6612096128; 0262255782; 9780262255783; 1435605993; 9781435605992; 0262514907; 9780262514903; 0262026198; 9780262026192,"Borgman, Christine L., 1951-",(MiAaPQ)EBC3338751; (PQKB)10525331; (PQKBWorkID)10300980; (PQKBTitleCode)TC241843; (PQKBTitleCode)TC0000241843; (PQKBManifestationID)11228621; (SSID)ssj241843; (SSID)ssj0000241843; (CaPaEBR)ebrary10194165; (OCoLC)181028448; (CKB)1000000000479493,2007.,,MIT Press,,9982734604902771,991000000000479493
IEEE Xplore MIT Press eBooks Library—Computing & Engineering Collection,AZ,Available,Virtual knowledge experimenting in the humanities and the social sciences /,Communication in learning and scholarship--Technological innovations.; Humanities--Information technology.; Social sciences--Information technology.; Humanities--Research.; Social sciences--Research.; Internet research.; Information visualization.; Knowle,AZ,1283707519; 9781283707510; 0262305755; 9780262305754; 0262517914; 9780262517911; 026201839X; 9780262018395,"Wouters, Paul.",(MiAaPQ)EBC3339531; (PQKB)11390904; (PQKBWorkID)10754475; (PQKBTitleCode)TC757237; (PQKBTitleCode)TC0000757237; (PQKBManifestationID)11390554; (SSID)ssj757237; (SSID)ssj0000757237; (EBL)3339531; (CKB)2670000000276165,[2012],,MIT Press,,9982749241902771,992670000000276165
IEEE Xplore MIT Press eBooks Library—Computing & Engineering Collection,B,Available,Moving without a body digital philosophy and choreographic thought /,Movement (Philosophy); Human body (Philosophy); Choreography--Philosophy.; Digital art--Philosophy.; Electronic books.,B,1299457746; 9781299457744; 0262313855; 9780262313858; 0262018926; 9780262018920,"Portanova, Stamatia, 1974-",(MiAaPQ)EBC3339609; (PQKB)11255416; (PQKBWorkID)10895584; (PQKBTitleCode)TC860517; (PQKBTitleCode)TC0000860517; (PQKBManifestationID)11507803; (SSID)ssj860517; (SSID)ssj0000860517; (EBL)3339609; (CKB)2550000001018773,c2013.,,MIT Press,Technologies of Lived Abstraction,9982757358802771,992550000001018773
IEEE Xplore MIT Press eBooks Library—Computing & Engineering Collection,BD,Available,Reasoning about knowledge,"Philosophy; Philosophy & Religion; Speculative Philosophy; Knowledge, Theory of; Agent (Philosophy); Reasoning",BD,0262256096; 9780262256094; 0262562006; 9780262562003,,(PQKB)11070302; (PQKBWorkID)10443176; (PQKBTitleCode)TC374584; (PQKBTitleCode)TC0000374584; (PQKBManifestationID)12138496; (SSID)ssj374584; (SSID)ssj0000374584; (PQKB)10452510; (PQKBWorkID)10876767; (PQKBTitleCode)TC937690; (PQKBTitleCode)TC0000937690; (PQKBManifestationID)11612315; (SSID)ssj937690; (SSID)ssj0000937690; (CKB)111086906272372,2003,,MIT Press,,9982751006602771,99111086906272372
IEEE Xplore MIT Press eBooks Library—Computing & Engineering Collection,BD,Available,System : the shaping of modern knowledge /,"Electronic books.; Galilei, Galileo,--1564-1642--Knowledge--Science.; Interdisciplinary approach to knowledge.; Knowledge, Theory of.; System theory.",BD,0262534673; 9780262534673; 0262035316; 9780262035316; 0262336340; 9780262336345,"Siskin, Clifford, author.",(MiAaPQ)EBC4718051; (EBL)4718051; (CKB)3710000000903027,2016.,,The MIT Press,Infrastructures,9983243792202771,(CKB)3710000000903027
IEEE Xplore MIT Press eBooks Library—Computing & Engineering Collection,BF,Available,Anigrafs : experiments in cooperative cognitive architecture /,Cognition.; Group decision making.; Artificial intelligence.; Electronic books.,BF,0262329115; 9780262329118; 0262527782; 9780262527781,"Richards, Whitman, author.",(MiAaPQ)EBC3339979; (PQKB)10117538; (PQKBWorkID)11422910; (PQKBTitleCode)TC1483273; (PQKBTitleCode)TC0001483273; (PQKBManifestationID)12633046; (SSID)ssj1483273; (SSID)ssj0001483273; (CKB)3710000000402430,2015.,,The MIT Press,,9982724436802771,993710000000402430
IEEE Xplore MIT Press eBooks Library—Computing & Engineering Collection,BF,Available,Artificial cognitive systems : a primer /,Cognition.; Brain.; Developmental psychology.; Artificial intelligence.; Electronic books.,BF,0262326698; 9780262326698; 0262028387; 9780262028387,"Vernon, David, 1958- author.",(MiAaPQ)EBC3339888; (PQKB)11273437; (PQKBWorkID)11289300; (PQKBTitleCode)TC1369318; (PQKBTitleCode)TC0001369318; (PQKBManifestationID)12604875; (SSID)ssj1369318; (SSID)ssj0001369318; (EBL)3339888; (CKB)3710000000271320,[2014],,The MIT Press,,9982725686902771,993710000000271320
