Public Name,LC Classification Code,Availability,Title,Subjects,Classification Code,ISBN,Author,Network Number,Publication Date,Edition,Publisher,Series,MMS Id,Originating System ID
IEEE Xplore Wiley eBooks Library (IEEE Xplore),D,Available,Crystal clear : the struggle for reliable communications technology in World War II,"World War, 1939-1945--Communications; Oscillators, Crystal; Quartz crystals; History & Archaeology; History - General",D,0470051299; 9780470051290; 0470046066; 9780470046067,"Thompson, Richard J Author",(PQKB)11483924; (PQKBWorkID)10427026; (PQKBTitleCode)TC402761; (PQKBTitleCode)TC0000402761; (PQKBManifestationID)11282827; (SSID)ssj402761; (SSID)ssj0000402761; (CKB)2580000000002392,2007,,IEEE Press,,9982705310302771,992580000000002392
IEEE Xplore Wiley eBooks Library (IEEE Xplore),GB,Available,Remote sensing and actuation using unmanned vehicles /,"Geomorphology--Remote sensing.; Environmental monitoring--Remote sensing.; Vehicles, Remotely piloted.; Electronic books.",GB,1283941279; 9781283941273; 1118377184; 9781118377185; 1118377168; 9781118377161; 1118377176; 9781118377178; 1118122763; 9781118122761,"Chao, Haiyang, author.",(MiAaPQ)EBC4034670; (MiAaPQ)EBC861774; (PQKB)11028612; (PQKBWorkID)10700916; (PQKBTitleCode)TC715377; (PQKBTitleCode)TC0000715377; (PQKBManifestationID)11472378; (SSID)ssj715377; (SSID)ssj0000715377; (OCoLC)818853875; (EBL)861774; (CKB)3400000000085569,2012.,,Wiley; IEEE Press,IEEE Press Series on Systems Science and Engineering,9982779881002771,993400000000085569
IEEE Xplore Wiley eBooks Library (IEEE Xplore),GV,Available,Game invaders the theory and understanding of computer games /,Computer games.; Computer games--Design.; Video games.; Video games--Design.; Electronic books.,GV,1280679050; 9781280679056; 9786613655981; 6613655988; 1118347579; 9781118347577; 1118347587; 9781118347584; 1118347552; 9781118347553; 0470597186; 9780470597187,"Fencott, Clive.",(MiAaPQ)EBC875930; (PQKB)11600822; (PQKBWorkID)10631956; (PQKBTitleCode)TC656110; (PQKBTitleCode)TC0000656110; (PQKBManifestationID)11955695; (SSID)ssj656110; (SSID)ssj0000656110; (OCoLC)777364386; (EBL)875930; (CKB)2550000000103326,c2012.,,Wiley; IEEE; IEEE Computer Society,,9982755850302771,992550000000103326
IEEE Xplore Wiley eBooks Library (IEEE Xplore),GV,Available,Handbook of digital games /,Computer games.; Video games.; Electronic books.,GV,1118796276; 9781118796276; 1118796233; 9781118796238; 1118796446; 9781118796443; 1118328035; 9781118328033,"Angelides, Marios C.",(MiAaPQ)EBC1638090; (OCoLC)871224329; (PQKB)10143658; (PQKBWorkID)11148980; (PQKBTitleCode)TC1132292; (PQKBTitleCode)TC0001132292; (PQKBManifestationID)11702105; (SSID)ssj1132292; (SSID)ssj0001132292; (EBL)1638090; (CKB)2670000000530796,2014.,,Wiley,,9982750954902771,992670000000530796
IEEE Xplore Wiley eBooks Library (IEEE Xplore),HA,Available,Resource allocation in uplink OFDMA wireless systems optimal solutions and practical implementations /,Surveys--Methodology.; Social sciences--Research--Statistical methods.; Electronic books.,HA,1280675489; 9781280675485; 9786613652416; 6613652415; 1118189647; 9781118189641; 1118189655; 9781118189658; 1118189620; 9781118189627; 1118074505; 9781118074503,"Yaacoub, Elias E.",(MiAaPQ)EBC818529; (PQKB)11162149; (PQKBWorkID)10614236; (PQKBTitleCode)TC640578; (PQKBTitleCode)TC0000640578; (PQKBManifestationID)11446407; (SSID)ssj640578; (SSID)ssj0000640578; (OCoLC)775301848; (EBL)818529; (CKB)2550000000082785,2012.,,IEEE Press,IEEE Series on Digital & Mobile Communication,9982753302202771,992550000000082785
IEEE Xplore Wiley eBooks Library (IEEE Xplore),HD,Available,Business and scientific workflows a web service-oriented approach /,Workflow.; Business--Data processing.; Information technology.; Industrial management.; Electronic books.,HD,1299277284; 9781299277281; 1118554655; 9781118554654; 1118554604; 9781118554609; 1118171330; 9781118171332,"Tan, Wei.",(MiAaPQ)EBC1143553; (PQKB)10352456; (PQKBWorkID)10924091; (PQKBTitleCode)TC904722; (PQKBTitleCode)TC0000904722; (PQKBManifestationID)11512246; (SSID)ssj904722; (SSID)ssj0000904722; (OCoLC)830161797; (EBL)1143553; (CKB)2560000000099403,2013.,,Wiley,IEEE Press Series on Systems Science and Engineering,9982706149402771,992560000000099403
IEEE Xplore Wiley eBooks Library (IEEE Xplore),HD,Available,Collaborative process improvement : with examples from the software world /,Computer software industry--Management.; Computer software--Development--Management.; Computer software--Quality control.; Reengineering (Management); Electronic books.; Computer software industry--Management; Computer software--Development--Management; C,HD,1119134668; 9781119134664; 047008460X; 9780470084601,"Yeakley, Celeste Labrunda, author.",(PQKB)10969298; (PQKBWorkID)12454757; (PQKBTitleCode)TC1579536; (PQKBTitleCode)TC0001579536; (PQKBManifestationID)16255083; (SSID)ssj1579536; (SSID)ssj0001579536; (IEEE)7304001; (IDAMS)b00006484a80f81; (IDAMS)0b00006484a80f81; (CaBNVSL)mat7304001; (CaBNVSL)mat07304001; (CKB)3710000000492875,2007,,Wiley Interscience,Practitioners,9982804917702771,(CKB)3710000000492875
IEEE Xplore Wiley eBooks Library (IEEE Xplore),HD,Available,"Communication practices in engineering, manufacturing, and research for food and water safety /",Food industry and trade--Management.; Food--Safety measures.; Electronic books.,HD,1119084318; 9781119084310; 1118886372; 9781118886373; 111827427X; 9781118274279,"Wright, David.",(MiAaPQ)EBC1998789; (PQKB)10463222; (PQKBWorkID)14819732; (PQKBTitleCode)TC1558925; (PQKBTitleCode)TC0001558925; (PQKBManifestationID)16184488; (SSID)ssj1558925; (SSID)ssj0001558925; (EBL)1998789; (CKB)3710000000461419,[2015],,Wiley; IEEE Press,IEEE PCS Professional Engineering Communication Series,9982804917602771,(CKB)3710000000461419
IEEE Xplore Wiley eBooks Library (IEEE Xplore),HD,Available,Decisions : an engineering and management perspective /,Decision making.; Problem solving.; Management.; Electronic books.,HD,1119020263; 9781119020264; 1119020255; 9781119020257; 1322610665; 9781322610665; 0470167599; 9780470167595,"Gaynor, Gerard H., author.",(MiAaPQ)EBC1895933; (PQKB)10942571; (PQKBWorkID)11357305; (PQKBTitleCode)TC1401764; (PQKBTitleCode)TC0001401764; (PQKBManifestationID)12618537; (SSID)ssj1401764; (SSID)ssj0001401764; (EBL)1895933; (CKB)3710000000331708,2015.,,Wiley; IEEE Press,,9982721946202771,993710000000331708
IEEE Xplore Wiley eBooks Library (IEEE Xplore),HD,Available,Electric power planning for regulated and deregulated markets,Electric utilities--Management.; Risk management.; Competition.; Electronic books.,HD,1280839309; 9781280839306; 9786610839308; 6610839301; 0470130571; 9780470130575; 0470130563; 9780470130568; 0470118822; 9780470118825,"Mazer, Arthur, 1958-",(MiAaPQ)EBC291447; (PQKB)10298547; (PQKBWorkID)10156182; (PQKBTitleCode)TC144917; (PQKBTitleCode)TC0000144917; (PQKBManifestationID)11157498; (SSID)ssj144917; (SSID)ssj0000144917; (OCoLC)476050032; (EBL)291447; (CKB)1000000000356343,c2007.,,Wiley-Interscience; IEEE Press,,9982733844002771,991000000000356343
IEEE Xplore Wiley eBooks Library (IEEE Xplore),HD,Available,Electricity economics : regulation and deregulation,Electric Utilities--Management; Electric utilities--Costs; Electric utilities--Government policy; Business & Economics; Industries,HD,0471234370; 9780471234371; 047054449X; 9780470544495,,(PQKB)10852333; (PQKBWorkID)10426870; (PQKBTitleCode)TC402773; (PQKBTitleCode)TC0000402773; (PQKBManifestationID)12122085; (SSID)ssj402773; (SSID)ssj0000402773; (CKB)2580000000002517,2003,,John Wiley,,9982705303502771,992580000000002517
IEEE Xplore Wiley eBooks Library (IEEE Xplore),HD,Available,Enterprise content and search management for building digital platforms /,Management--Technological innovations.; Digital media--Management.; Multimedia systems--Management.; Performance technology.; Electronic books.,HD,1119206839; 9781119206835; 1119206820; 9781119206828; 1119206847; 9781119206842; 1119206812; 9781119206811,"Shivakumar, Shailesh Kumar, author.",(MiAaPQ)EBC4772131; (CKB)4330000000009309,[2017],,Wiley,,9983324988902771,(CKB)4330000000009309
IEEE Xplore Wiley eBooks Library (IEEE Xplore),HD,Available,International virtual teams : engineering global communication /,Leadership.; Success in business.; Teams in the workplace.; Electronic books.,HD,1118886461; 9781118886465; 1119063957; 9781119063957; 1118339002; 9781118339008,"Brewer, Pam Estes, author.",(MiAaPQ)EBC1896031; (PQKB)10686224; (PQKBWorkID)14819652; (PQKBTitleCode)TC1558926; (PQKBTitleCode)TC0001558926; (PQKBManifestationID)16184457; (SSID)ssj1558926; (SSID)ssj0001558926; (CKB)3710000000413203,2015.,,Wiley; IEEE Press,IEEE PCS professional engineering communication series.,9982802002802771,(CKB)3710000000413203
IEEE Xplore Wiley eBooks Library (IEEE Xplore),HD,Available,It sounded good when we started : a project manager's guide to working with people on projects /,Project management.; Electronic books.; Project management; Management; Business & Economics; Management Styles & Communication,HD,0471485861; 9780471485865; 0471723177; 9780471723172,"Phillips, Dwayne, 1958-",(PQKB)11239093; (PQKBWorkID)10612283; (PQKBTitleCode)TC670596; (PQKBTitleCode)TC0000670596; (PQKBManifestationID)12256658; (SSID)ssj670596; (SSID)ssj0000670596; (IEEE)5989611; (IDAMS)b00006481624f54; (IDAMS)0b00006481624f54; (CaBNVSL)mat5989611; (CaBNVSL)mat05989611; (CKB)2670000000110675,2004,,John Wiley & Sons,Practitioners ; 61,9982808515002771,2670000000110675
IEEE Xplore Wiley eBooks Library (IEEE Xplore),HD,Available,LEOMA and the US laser industry : the good and bad moves for trade associations in emerging high-tech industries /,"Laser industry--United States--Societies, etc.; Lasers--United States.; Trade associations--United States.; Electronic books.",HD,1118914333; 9781118914335; 111888647X; 9781118886472; 1118914325; 9781118914328; 132231750X; 9781322317502; 1118010248; 9781118010242,"Hitz, C. Breck, author.",(MiAaPQ)EBC1843632; (PQKB)10538077; (PQKBWorkID)11448707; (PQKBTitleCode)TC1368300; (PQKBTitleCode)TC0001368300; (PQKBManifestationID)11978558; (SSID)ssj1368300; (SSID)ssj0001368300; (EBL)1843632; (CKB)2670000000576717,2015.,,Wiley; IEEE Press,,9982747401402771,992670000000576717
IEEE Xplore Wiley eBooks Library (IEEE Xplore),HD,Available,"Market operations in electric power systems forecasting, scheduling, and risk management /",Electric utilities--United States.; Electric power systems--United States.; Electric utilities--Deregulation--United States.; Electronic books.,HD,1280367482; 9781280367489; 9786610367481; 6610367485; 0470357177; 9780470357170; 0471463949; 9780471463948; 047122412X; 9780471224129; 0471443379; 9780471443377,"Shahidehpour, M., 1955-",(MiAaPQ)EBC159855; (PQKB)10215879; (PQKBWorkID)10095745; (PQKBTitleCode)TC80457; (PQKBTitleCode)TC0000080457; (PQKBManifestationID)11126014; (SSID)ssj80457; (SSID)ssj0000080457; (OCoLC)475872835; (EBL)159855; (CKB)111087027130576,2002.,,Institute of Electrical and Electronics Engineers Wiley-Interscience,,9982750837002771,99111087027130576
IEEE Xplore Wiley eBooks Library (IEEE Xplore),HD,Available,"Modern standardization : case studies at the crossroads of technology, economics, and politics /",Standardization--Economic aspects--Case studies.; Electronic books.,HD,1119043530; 9781119043539; 1118678591; 9781118678596; 1119043492; 9781119043492,"Schneiderman, Ron, author.",(MiAaPQ)EBC1895989; (PQKB)11445767; (PQKBWorkID)11464545; (PQKBTitleCode)TC1459471; (PQKBTitleCode)TC0001459471; (PQKBManifestationID)11903489; (SSID)ssj1459471; (SSID)ssj0001459471; (CaPaEBR)ebrary11041435; (CKB)3710000000391765,2015.,,John Wiley & Sons Inc,,9982724152902771,993710000000391765
